id,type,text1,text2,text3,notes
galaxytigers_conquest,SHIP,"This Conquest model has been modified by the Galaxy Tigers to fit a heavier profile of ship. The changes include more hull integrity, armor and the conversion of 2 large weapon points to composite points at the cost of speed and maneuverability.

The Conquest-class battlecruiser is the embodiment of concentrated firepower. Developed in the period just preceding the popularization of fighter craft, the class emphasizes firepower and speed over armor protection.

Space Naval tacticians of the day were confident that new weapons systems would always outperform armor and shields and thus were the key to winning an engagement. So why not build a ship for speed and power? Give it the armor protection of a cruiser, but arm it with the best weapons available to any ship, and have it remain faster than any of those lumbering behemoths of the line. The Conquest is a good example of these concepts put into a hull. Many other advanced technologies were incorporated into the design, including weapon mounts designed for a circling engagement. This maneuver requires greater navigational skill while serving to provide more tactical options to the commanding officers. 

Fortune favors the bold, the ancients said. This class of ships does indeed favor the bold captain, willing to risk everything for the thrill of victory.",,,
galaxytigers_baguette_p,SHIP,"Basicaly a large piece of junk, this ship has nonetheless some potential. The pirates used scraps salvaged here and there of an all-mighty battleship used by the Galaxy Tigers, the Baguette, wrapped around a circular chassis. The pirate design is not that different of the original one, even though it is way more fragile and has poor shield efficiency due to the generator being damaged. The good points are still good results in speed and maneuverability tests showing almost a destoyer-like agility and an acceptable firepower reinforced with the Accelerated Ammo Feeder system.",,,
galaxytigers_atlas_fortress,SHIP,"This ship is a redesigned Atlas MK. II hull fitting a more battlecarrier-like profile. Trading some turret slots to enable more accessibility to the launch bays, the Atlass Fortress also got much more protected by its heavier armor and overall structure, not to mention better flux-related capacities with the exception of the shield generator that got a bit damaged by the modifications. In an addition, the original ship system got replaced by a new one made to control Defender (GT) drones for an escort duty.",,,
galaxytigers_atlas_h,SHIP,"The Onslaught (A) is the result of a lack of time from the Hegemony to assemble proper Onslaughts. Using what the engineers could grab, this vessel features an (almost) true Onslaught, only lacking its back and replaced with an Atlas' one. While still fairly capable, the ship is missing its missile weapon mounts, thus considerably weakening its frontal firepower.",,,
galaxytigers_true_baguette,SHIP,"""Commandew, it's a baguette. We somehow weceived a wecipe too...""
Combinye fwouw, sugaw, and yeast in a boww and mix. Add watew and knyead with a dough hook fow 5-7 minyutes untiw dough is smooth.
Cuvw boww with towew and wet dough west fow 15 minyutes.
Spwinkwe dough evenwy with sawt and knyead with dough hook untiw sawt is weww incowpowated.
Cuvw with towew and set in a wawm pwace untiw dough is doubwed in size.
Tuwn dough out onto a wightwy fwouwed suwface. Woww it out into a 16x12 inch wectangwe. Cut in hawf to cweate two 8x12 inch wectangwes. Stawting with the 12 inch side, woww each wectangwe up tightwy. Fwatten out aiw bubbwes as you go and tapew off the ends.
Pwace dough on a baking sheet winyed with a baking mat ow wightwy spwayed with nyon-stick cooking spway.
Make diagonyaw swashed acwoss the tops of the woaves. Cuvw and awwow to wise in a wawm pwace untiw doubwed in size.
Pweheat uvn to 375. Mix togethew egg white and watew in a smaww boww. Bwush uvw the tops of woaves.
Bake untiw gowden bwown.
Awwow to coow fow 10 minyutes befowe sewving.

Youw officew can't stop imaginying the wesuwt and thinks out woud : ""Mmmmmm bwed.""",,,
galaxytigers_survey_mothership,SHIP,"An old automated vessel supposedly used for exploring and analyzing outer systems during the Domain era. Considering the bulk, the state and the armaments of this drone, it is reasonable to question if it was more a military vessel than an exploration one.",,,
,,,,,
#Wings,,,,,
galaxytigers_watchtower,SHIP,"Cheap to mount and yet effective, the Watchtower wing is the GT equivalent of the Talon interceptors. Equiped of 2 Asteroid PD Systems, a Watchtower squadron will be able to take down many minor threat with a correct efficiency. Their only drawback is the incapability of operating far from their carrier.",,,
galaxytigers_arrowtip,SHIP,"The Arrowtip bomber wing is a Domain-era inspired drone especially made to reduce lost lives during bombing runs. Equiped of 2 Toucan Torpedoes and 2 Light Machine Guns, any unshielded target will take serious damage if every torpedo hit.",,,
galaxytigers_drone_spider,SHIP,"Agile and particulary effective in swarms, the Spider drone is equiped of 2 Ion cannons for a high EMP potential. While being very useful against a single target and a nightmare for lone frigates, it may have a harder time when facing many opponents.",,,
galaxytigers_brattice,SHIP,"Autonomous AI interceptor inspired by the Explorarium design of a Brattice drone. Its former weapon got replaced by a light mortar, and the drone itself was built with a shield generator with a particularly terrible efficiency. Still fairly capable, it can be useful to tear enemy armor apart, slowly and steadily, for a very cheap cost.",,,
galaxytigers_bristol_H5S5,SHIP,"With inspiration drawn from the old aircrafts that were once used when humans were still living on Old Earth, the Bristol H5S5 armada is composed of 5 vessels armed of a Micro Bolter and a very small annihilator pod in order to complete support and pressure roles with acceptable efficiency, while also being able to boost its overall agility using its system.",,,
galaxytigers_buster_B10,SHIP,"With inspiration drawn from the old aircrafts that were once used when humans were still living on Old Earth, the Buster B10 armada is composed of 3 vessels armed with a Patience Minelayer, to land lines of static EMP mines, and a Light Machinegun. While being very adequate to pressure hostiles, these EMP mines are so unstable that they can't remain on the battlefield for too long, thus self-destructing themselves after a few seconds.",,,
galaxytigers_defender_system,SHIP,"A modified Defender (GT) drone suited for being a fighter wing. Everything on this vessel has been optimized to make sure it is able to do its job at the best of its potential, from the weapons to the engine modifications to make it even faster and more agile.",,,
galaxytigers_warden_wing,SHIP,A modified Warden (GT) drone suited for being a fighter wing. Everything on this vessel has been optimized to make sure it is able to do its job at the best of its potential.,,,
galaxytigers_sentry_wing,SHIP,A modified Sentry (GT) drone suited for being a fighter wing. Everything on this vessel has been optimized to make sure it is able to do its job at the best of its potential.,,,
galaxytigers_picket_wing,SHIP,A modified Picket (GT) drone suited for being a fighter wing. Everything on this vessel has been optimized to make sure it is able to do its job at the best of its potential.,,,
,,,,,
#Weapons,,,,,
galaxytigers_lighter_needler,WEAPON,"A design based on the Light Needler. The decreased munition size allows for a staged auto-loader design, dramatically improving downtime between bursts and thus putting constant pressure on a target.",,,
galaxytigers_asteroid_pd,WEAPON,"Simple design that can serve a PD duty as well as a close fighting one. Dealing decent energy damage delivered in quick bursts, this weapon is adequate to get rid of nearby small threats.",,,
galaxytigers_patience_minelayer,WEAPON,Releases a line of static EMP mines equipped with a proximity fuse. The EMP charge is however so unstable for these small devices that they can't stay for too long on the battlefield.,,,
galaxytigers_wallbrick_gun,WEAPON,"A very special weapon carrying a rarely seen type of ammunition. Firing bursts of 3 bullets, a direct hit on hull will result in a strange reaction taking priority over any imput the target may have, thus forcing a brief derivation following the velocity of the slug that hit the vessel.",,,
galaxytigers_wallbrick_cannon,WEAPON,"A very special weapon carrying a rarely seen type of ammunition. Being the big brother of the Wallbrick Gun, the Wallbrick Cannon fires bursts of 4 bullets. If any of its bullets hit directly a hull, a strange reaction will occur taking priority over any imput the target may have, thus forcing a brief derivation following the velocity of the slug that hit the vessel.",,,
galaxytigers_toucan_single,WEAPON,"The Toucan torpedo is a simple unguided device designed to deliver a high energetic payload. While being bulky, it is hampered by its slowness, exposing it to PD weapons.

This mount features only a single torpedo.",,,
galaxytigers_toucan,WEAPON,"The Toucan torpedo is a simple unguided device designed to deliver a high energetic payload. While being bulky, it is hampered by its slowness, exposing it to PD weapons.

This mount features 4 Toucan Torpedoes.",,,
galaxytigers_deactite,WEAPON,The Deactite Waver is a cheap but efficient support weapon sending 3 multi directionnal waves in front of it. Each wave offers a high EMP payload that can disable multiple weapons. The only drawback is the damage potential being fairly low.,,,
galaxytigers_xpc,WEAPON,"The XPC was developped in the continuity of the Thermal Pulse Cannon but using the x-ray technology combined with a lighter pulser to finally get mounted onto the Smolslaught's arms. Even though it doesn't fire as the same rate as its bigger brother, it is compensated by a good damaging potential.",,,
galaxytigers_overclocked_xpc,WEAPON,"The overclocked XPC is a modification made by the pirates in an attempt to get even more firepower from it. Now firing at an insane rate, the weapon's systems can quickly get overloaded and needs a bit of time to cool itself down before being able to refire again.",,,
galaxytigers_shrapnolt,WEAPON,"The Shrapnolt Gun was formerly created to fill an area point-defense role, shooting 15 slugs per second in many directions. While being correctly effective to get down missile and fighter swarms, it lacks accuracy to hit a single target unless it's a big one like a cruiser or even a capital. Given the fact their armor has been stripped away, the Shrapnolt Gun should be able to hurt their structure a lot.",,,
galaxytigers_meteor_strike,WEAPON,"The Galaxy Tigers once needed to find an alternative to the Hephaestus Assault Gun due to a shortage of those weapons into their stocks. Engineers came out with this rough but effective design. Trading HE damage for Energy damage, the Meteor Strike Cannon shoots at a much better rate than the Hephaestus, however sustained firing usually lead to an accuracy loss.",,,
galaxytigers_claw_mirv,WEAPON,"The biggest version of the Tiger's MIRV family, the Tiger's Claw launcher houses many rockets that it shoots by salvos of 4 to put targets under pressure. Every rocket will hyperdrive above their target in order to attack them from behind when splitting the warheads. The system is however very unstable, making the splitting process fail from time to time. If this would happen, the backup system will be used if the missile go too far away from its target, emitting EMP arcs toward its prey while destroying itself. Used in numbers, this weapon is a convenient choice to pressure enemy ships and strip their armor.",,,
galaxytigers_fang_mirv,WEAPON,"The medium member of the Tiger's MIRV family, the Tiger's Fang launcher houses a handful of rockets that it shoots by salvos of 2 to put targets under pressure. Every rocket will hyperdrive above their target in order to attack them from behind when splitting the warheads. The system is however very unstable, making the splitting process fail from time to time. If this would happen, the backup system will be used if the missile go too far away from its target, emitting EMP arcs toward its prey while destroying itself. Used in numbers, this weapon is a convenient choice to pressure enemy ships and strip their armor.",,,
galaxytigers_paw_mirv,WEAPON,"The smallest member of the Tiger's MIRV family, the Tiger's Paw launcher houses a few rockets that it shoots one by one to put targets under small pressure. Every rocket will hyperdrive above their target in order to attack them from behind when splitting the warheads. The system is however very unstable, making the splitting process fail from time to time. If this would happen, the backup system will be used if the missile go too far away from its target, emitting EMP arcs toward its prey while destroying itself. Used in numbers, this weapon is a convenient choice to pressure enemy ships and strip their armor.",,,
,,,,,
#Entities,,,,,
galaxytigers_researchbase,CUSTOM,"This research station bears the markings of the Galaxy Tigers faction and looks to be abandoned since many years. It was probably built to study planets or anything of interest, but seeing what remains of it tells your crew that something may have happened to it in the past and its security systems weren't sufficient. Closer inspection may yield salvage.",,,
galaxytigers_mining,CUSTOM,"This mining station bears the markings of the Galaxy Tigers faction and looks to be abandoned since many years. It once served to sustain the needings and wealth of this faction. Whatever happened shows some signs of an evacuation and it looks like the security systems weren't enough to stop the danger. At least, some goodies may have been left behind... Closer inspection may yield salvage.",,,
galaxytigers_habitat,CUSTOM,This habitat bears the markings of the Galaxy Tigers faction and looks to be abandonned since many years. There might be some power or emergency power left seeing an occasionnal light flicker or a door from a docking bay closing or opening for some reason. Checking its structure showed some holes and impacts usually occasioned during fights. Closer inspection may yield salvage.,,,
,,,,,
#Ship systems,,,,,
galaxytigers_spider_nest,SHIP_SYSTEM,Deploys a large number of re-equiped and reprogrammed Spider drones orbiting the ship. The drones are armed of 2 PD lasers.,,,
galaxytigers_bristol_transform,SHIP_SYSTEM,"Activates the engaging systems, making the vessel faster and more agile.",,,
galaxytigers_drone_sensor2,SHIP_SYSTEM,Deploys a pair of drones whose on-board sensors improve the ship's weapon and sensor range. Each drone is also armed with an ion cannon.,,,
galaxytigers_defender_PD_heavysupport,SHIP_SYSTEM,"Deploys Defender (GT) drones equiped for a point defense duty. Depending of the situation, the Defenders will try their best to accomplish their first task, if they can't do such (for instance, no PD help needed), the drones will opt to support their mothership by harrassing a nearby hostile ship.",,,
galaxytigers_ethrom_hammering,SHIP_SYSTEM,"A maneuver consisting of concentrating most of the ship's power directly to the engines to grant the vessel a very good turning rate to then do a 360, hitting everything that meets the pseudo-hammer or the hull itself.",,,
galaxytigers_drone_deploy,SHIP_SYSTEM,"Deploys the 2 drones the Reinforcer conveys. They will then act as new ships that you can give orders to, their default one being escorting their mothership. The 2 vessels also add their DP cost to your currently used DP.",,,
galaxytigers_drone_call,SHIP_SYSTEM,Emits a call to make a new automated ship enter the battle. Its default order is to escort the mothership. The cooldown for a new call to be done varies depending of the size of the previously called drone.,,,
galaxytigers_artillery_mode,SHIP_SYSTEM,"Toggle system providing a significant range boost to the mounted weapons and activating the built-in weapon. Halves speed, reduces overall agility and pull back fighters while active.",,,
,,,,,
#Factions,,,,,
galaxytigers,FACTION,"The Galaxy Tigers are a conglomerate of many kind of people, from humble farmers to well-known scientists, which was originaly a simple group of dozens of people working for Tri-Tachyon who colonized a planet into the Tigris star system. Their decision to leave the megacorporation is nowadays unknown. Some say that it was because of a disagreement, others that they just got fired for some reason.

The colony eventually became to grow in terms of population and reputation and soon became a notorious passageway for anyone going, or coming back, for a long journey. At some point, survey ships got sent to the other system's planets to discover potential resources that may help the faction getting more independent and every Tigris' planets slowly got colonized one by one. The now well-established group began to claim their name as the Galaxy Tigers since.

Some years before the Collapse and not long after the third wave of autonomous exploration ships got sent, a loose mothership escorted by some other automated entities got in the system. Worried, the leader asked some fleets to follow the vessels at a safe distance to make sure they won't encounter anything that would be considered as hostile to them. As soon as the fleets got near the automated ships, many radar signatures coming from inside the vessels got detected. Those signatures were automated drones that got deployed against the Galaxy Tigers forces. Their hostile behaviour forced the faction to open fire against the drones, which got more agressive reactions now coming directly from the mothership and its escort as a result. The fight last for almost 4 days and resulted as a victory for the Galaxy Tigers, but at the price of many casualties.

Every ex-automated vessels got scavenged and studied by engineers following the orders of the leader to find a way to re-use them. The engineers eventually came up with ideas of designs, a way to reprogram the existing AIs that were used in the original drones and to transfer this program to newly built AIs, and a very detailed process in order to be able to build their own drones. Not long after, the production started, the salvaged vessels got restored and soon the first Galaxy Tigers drones got their uses in many fleets for testing purposes.

The tests lasted during many years, even after the Collapse, and showed many good reports. They ended when the First AI War broke. The Galaxy Tigers joined the forces of Tri-Tachyon, with which they were still in good terms, and the Persean League. The faction didn't involved itself in many battles, excepted when it was to protect the megacorp or themselves, but still suffered some casualties which were for the very most drone ships. Since then, tensions between the opposing Hegemony and Luddic Church against the Galaxy Tigers remained.

Inbetween the AI wars, the faction growth exploded so much that they could afford to begin colonizing outer systems, named Project ""New Beginnings"". However this expansion hope didn't last long when the Second AI War broke. With the will to help Tri-Tachyon came pressure from the opposing factions, which resulted in attacks onto outer system stations and such. Due to this, the project got suspended and most of the population retreated to the Tigris system which got heavy security reinforcements.

Even after the treaty, Project ""New Beginnings"" was never brought back, the leader not willing to bring their population into unwanted danger again and the tensions are still here, mostly with the Hegemony, because the Galaxy Tigers refuse to follow the High Hegemon's orders of bringing the automated drones down, from what is left of the very first ones that were the salvaged vessels, to the newly produced ones.",,,
,,,,,
#Planet types,,,,,
galaxytigers_tundra,PLANET,"A terran-extreme variant world with a nitrogen-oxygen atmosphere maintained by a relatively subdued biosphere that exists largely within the oceans that undergo periodic thaw periods. The surface is very cold indeed, but it is human-viable if precautions are observed. Carbon dioxide may freeze out of the atmosphere at the poles during the local winter.",,,
galaxytigers_gas_giant,PLANET,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,
,,,,,
#Planets,,,,,
galaxytigers_planet_tergess,CUSTOM,"Tergess is a tundra world that was the very first planet the Galaxy Tigers colonized. It caught their eyes by its potential and since it also was the only habitable planet they came across, the GT settled in. By years passing, Tergess became their center of operations, either military or commercial, and is nowadays one of their most valued properties. It is also rumored that the drone mothership from the Domain era they fought against in the past is stocked here.",,"When orbiting Tergess high in its skies, you are soon welcomed by the sight of many lights of the cities built on the planet. Apparently, it is here that a derelict mothership from the prosperous Domain era is being kept. Maybe it is stocked where that isolated light stands?",
galaxytigers_planet_assekia,CUSTOM,"Even though Assekia is another dead rock along other ones commonly found in the Sector, the Galaxy Tigers still found uses for this planet as a secondary military base. Bunkers and military structures have been built over time, and now Assekia is an effective fortress sending out reinforcements and patrols.",,"Military ships of various sizes can be seen flying around and coming in and out from many structures. From humand-piloted ones to automated vessels, they are particularly numerous and some of your crew members are almost panicking while you approach the planet.",
,,,,,
#Commodities,,,,,
galaxytigers_reprogrammed_ai,RESOURCE,A fairly simple AI core either built in a specific facility or heavily repurposed and reprogrammed from a former state. It is so basic that this core have been proven representing no threat at all and has accordingly found many uses in other factions.,,,